algorithm,n_recommendations,mean_rating_watched,median_rating_watched,std_rating_watched,n_rating_watched,mean_relevance,median_relevance,std_relevance,n_relevance,mean_watch_likelihood_unwatched,median_watch_likelihood_unwatched,std_watch_likelihood_unwatched,n_watch_likelihood_unwatched,mean_preference_score,median_preference_score,std_preference_score,n_preference_score,mean_novelty,median_novelty,std_novelty,n_novelty,top_5_hits,mean_top_5_hit,median_top_5_hit,std_top_5_hit,n_top_5_hit,top_5_hit_rate,weighted_score_equal,weighted_rank_equal,weighted_score_quality_focused,weighted_rank_quality_focused,weighted_score_discovery_focused,weighted_rank_discovery_focused,rrf_score,rrf_rank
weighted_hybrid,45,4.632,5,0.597,19,3.667,4,1.108,45,2.923,3.0,0.744,26,3.644,4,1.09,45,1.044,1,0.952,45,12,0.267,0,0.447,45,0.267,0.722338,1,0.759837,1,0.701539,1,0.309989,1
image_text_similarity,45,4.579,5,0.607,19,3.467,3,1.1,45,2.615,2.5,0.804,26,3.444,3,1.216,45,1.089,2,0.973,45,14,0.311,0,0.468,45,0.311,0.685897,2,0.724416,2,0.65341,2,0.307255,2
image_similarity,45,4.5,5.0,0.73,16,3.4,3,1.156,45,2.655,3,0.897,29,3.311,3,1.221,45,1.222,2,0.951,45,11,0.244,0,0.435,45,0.244,0.613581,3,0.630963,3,0.603156,3,0.280952,5
knn,45,4.722,5.0,0.575,18,3.333,3,1.128,45,3.333,3,1.074,27,3.889,4,1.133,45,0.844,1,0.796,45,12,0.267,0,0.447,45,0.267,0.60346,4,0.624152,4,0.542185,5,0.296465,3
genome_overlap,45,4.7,5.0,0.675,10,3.467,3,0.968,45,2.886,3,0.9,35,3.289,3,1.141,45,1.267,1,0.809,45,8,0.178,0,0.387,45,0.178,0.575875,5,0.58189,5,0.586458,4,0.288095,4
castoverlap,45,4.889,5,0.333,9,3.022,3,1.305,45,2.5,2.5,1.108,36,2.978,3,1.39,45,1.422,2,0.812,45,7,0.156,0,0.367,45,0.156,0.411016,6,0.386916,6,0.418843,6,0.267157,6
tmdb,45,4.6,5.0,0.699,10,2.978,3,1.118,45,2.571,3,0.979,35,3.022,3,1.252,45,1.422,2,0.839,45,5,0.111,0,0.318,45,0.111,0.359042,7,0.321548,7,0.371918,7,0.25707,8
subtitles,45,4.25,4.5,0.957,4,2.844,3,1.205,45,2.244,2,1.019,41,2.422,2,1.158,45,1.689,2,0.633,45,3,0.067,0,0.252,45,0.067,0.25,8,0.2,8,0.3,8,0.257576,7
